recall@010,recall@020,ndcg@010,ndcg@020,accuracy@010,accuracy@020,precision@010,precision@020,f1@010,f1@020,mrr@010,mrr@020,phr@010,phr@020,user_id
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001059658789869662,0.0001059658789869662,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.02702702702702703,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.603380389897401e-05,9.603380389897401e-05,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000229937916762471,0.000229937916762471,0.0,0.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.146639511201481e-05,8.146639511201481e-05,0.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013218770654328804,0.00013218770654328804,0.0,0.0,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005602240896358524,0.0005602240896358524,0.0,0.0,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003314550878355943,0.0003314550878355943,0.0,0.0,8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001160092807424587,0.001160092807424587,0.0,0.0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012836970474967846,0.00012836970474967846,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023568230025924897,0.00023568230025924897,0.0,0.0,11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026638252530633566,0.00026638252530633566,0.0,0.0,12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006756756756756757,0.006756756756756757,0.0,0.0,13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035612535612535023,0.00035612535612535023,0.0,0.0,14
0.14285714285714285,0.2857142857142857,0.11838279295536293,0.18563143681831418,0.14285714285714285,0.2857142857142857,0.1,0.1,0.11764705882352941,0.14814814814814817,0.25,0.25,1.0,1.0,15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007336757153338369,0.0007336757153338369,0.0,0.0,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.758126647293805e-05,6.758126647293805e-05,0.0,0.0,17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.441880713974445e-05,5.441880713974445e-05,0.0,0.0,19
0.1,0.2666666666666667,0.08514311764162101,0.19639146323488832,0.06666666666666665,0.2666666666666667,0.1,0.20000000000000004,0.1,0.22857142857142862,0.20000000000000007,0.20000000000000007,1.0,1.0,20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041305245766209975,0.00041305245766209975,0.0,0.0,21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020234722784295833,0.00020234722784295833,0.0,0.0,22
0.0,0.16666666666666663,0.0,0.07947838320659595,0.0,0.16666666666666663,0.0,0.04999999999999999,0.0,0.07692307692307693,0.07692307692307698,0.07692307692307698,0.0,1.0,23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014808233377761049,0.00014808233377761049,0.0,0.0,24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016638935108153063,0.0016638935108153063,0.0,0.0,25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.606765327699105e-05,6.606765327699105e-05,0.0,0.0,26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007299270072992359,0.0007299270072992359,0.0,0.0,27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016474464579900872,0.0016474464579900872,0.0,0.0,28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001365374112506368,0.0001365374112506368,0.0,0.0,29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008064516129032251,0.008064516129032251,0.0,0.0,30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012888258796239782,0.00012888258796239782,0.0,0.0,31
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6825248173787415e-05,4.6825248173787415e-05,0.0,0.0,32
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01754385964912275,0.01754385964912275,0.0,0.0,33
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.09471443773868e-05,7.09471443773868e-05,0.0,0.0,34
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6866944743872985e-05,4.6866944743872985e-05,0.0,0.0,35
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012210012210012167,0.0012210012210012167,0.0,0.0,36
0.0,0.125,0.0,0.05954496680255472,0.0,0.125,0.0,0.04999999999999999,0.0,0.07142857142857145,0.05555555555555558,0.05555555555555558,0.0,1.0,37
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222254,0.022222222222222254,0.0,0.0,38
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013071895424836555,0.0013071895424836555,0.0,0.0,39
0.25,0.2500000000000001,0.24630238874073002,0.24630238874072996,0.25,0.2500000000000001,0.10000000000000003,0.04999999999999999,0.1428571428571429,0.08333333333333337,0.5,0.5,1.0,1.0,40
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011273957158963732,0.00011273957158963732,0.0,0.0,41
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.996851102116565e-05,8.996851102116565e-05,0.0,0.0,42
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026041666666667407,0.0026041666666667407,0.0,0.0,43
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001977848101266666,0.0001977848101266666,0.0,0.0,44
0.16666666666666663,0.33333333333333326,0.09546043308946739,0.16435399982704035,0.16666666666666669,0.33333333333333326,0.09999999999999998,0.10000000000000003,0.125,0.15384615384615385,0.125,0.125,1.0,1.0,45
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.601297565920426e-05,4.601297565920426e-05,0.0,0.0,46
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001481481481481417,0.001481481481481417,0.0,0.0,47
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001460280373832834,0.0001460280373832834,0.0,0.0,48
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004201680672268893,0.004201680672268893,0.0,0.0,49
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002355712603061555,0.0002355712603061555,0.0,0.0,50
0.33333333333333337,0.5,0.3079834593168982,0.3779990650500844,0.33333333333333326,0.5,0.20000000000000007,0.15000000000000002,0.25,0.23076923076923073,0.5,0.5,1.0,1.0,51
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428581,0.03571428571428581,0.0,0.0,52
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003124023742580029,0.0003124023742580029,0.0,0.0,53
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014471780028944004,0.0014471780028944004,0.0,0.0,54
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004987531172069293,0.0004987531172069293,0.0,0.0,55
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026308866087876304,0.00026308866087876304,0.0,0.0,56
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001033591731265382,0.0001033591731265382,0.0,0.0,57
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010559662090803279,0.00010559662090803279,0.0,0.0,58
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003058103975535076,0.003058103975535076,0.0,0.0,59
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00137174211248281,0.00137174211248281,0.0,0.0,60
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9640109208271e-05,4.9640109208271e-05,0.0,0.0,61
0.4285714285714286,0.5714285714285714,0.47997295436377363,0.5446812932053331,0.4285714285714286,0.5714285714285714,0.30000000000000004,0.20000000000000007,0.3529411764705883,0.2962962962962963,1.0000000000000002,1.0000000000000002,1.0,1.0,62
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028352707683598766,0.00028352707683598766,0.0,0.0,63
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.087997411854175e-05,8.087997411854175e-05,0.0,0.0,64
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019047619047620756,0.0019047619047620756,0.0,0.0,65
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003472222222222321,0.003472222222222321,0.0,0.0,66
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.108295872480184e-05,5.108295872480184e-05,0.0,0.0,67
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038610038610040753,0.0038610038610040753,0.0,0.0,68
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033366700033354846,0.00033366700033354846,0.0,0.0,69
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012184720360686185,0.00012184720360686185,0.0,0.0,70
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000190403655750071,0.000190403655750071,0.0,0.0,71
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042194092827005925,0.0042194092827005925,0.0,0.0,72
0.0,0.20000000000000018,0.0,0.09460634670666446,0.0,0.20000000000000018,0.0,0.050000000000000044,0.0,0.08000000000000007,0.09090909090909083,0.09090909090909083,0.0,1.0,73
0.11111111111111116,0.11111111111111116,0.1175227747072427,0.11752277470724248,0.11111111111111116,0.11111111111111116,0.10000000000000009,0.050000000000000044,0.10526315789473695,0.06896551724137923,0.3333333333333335,0.3333333333333335,1.0,1.0,74
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010186411327284262,0.00010186411327284262,0.0,0.0,75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002762430939227123,0.0002762430939227123,0.0,0.0,76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016891891891890332,0.0016891891891890332,0.0,0.0,77
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024539877300622237,0.00024539877300622237,0.0,0.0,78
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002525252525252597,0.002525252525252597,0.0,0.0,79
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.971167230083395e-05,4.971167230083395e-05,0.0,0.0,80
0.30000000000000004,0.5454545454545454,0.3843113526044082,0.5120955947000718,0.2727272727272727,0.5454545454545454,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.38709677419354827,1.0,1.0,1.0,1.0,81
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037907505686085585,0.00037907505686085585,0.0,0.0,82
0.5,0.7499999999999996,0.6366824387328316,0.7285813821014862,0.4999999999999998,0.7499999999999996,0.19999999999999996,0.1499999999999999,0.2857142857142858,0.24999999999999978,1.0,1.0,1.0,1.0,83
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014788524105302514,0.00014788524105302514,0.0,0.0,84
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00264550264550234,0.00264550264550234,0.0,0.0,85
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041684035014633025,0.00041684035014633025,0.0,0.0,86
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8515427906181685e-05,4.8515427906181685e-05,0.0,0.0,87
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002436647173489348,0.0002436647173489348,0.0,0.0,88
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00262467191601079,0.00262467191601079,0.0,0.0,89
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7892720306919045e-05,4.7892720306919045e-05,0.0,0.0,90
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013997760358375189,0.00013997760358375189,0.0,0.0,91
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020433183490009554,0.00020433183490009554,0.0,0.0,92
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006489292667097857,0.0006489292667097857,0.0,0.0,93
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011235955056180025,0.011235955056180025,0.0,0.0,94
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.607333448118482e-05,8.607333448118482e-05,0.0,0.0,95
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027218290691344293,0.00027218290691344293,0.0,0.0,96
0.1428571428571428,0.14285714285714324,0.09791292534996776,0.09791292534996776,0.1428571428571428,0.14285714285714324,0.10000000000000009,0.050000000000000044,0.11764705882352944,0.07407407407407396,0.16666666666666696,0.16666666666666696,1.0,1.0,97
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00657894736842124,0.00657894736842124,0.0,0.0,98
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428559,0.03571428571428559,0.0,0.0,99
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018191740949635715,0.00018191740949635715,0.0,0.0,100
0.0,0.666666666666667,0.0,0.21905326806013115,0.0,0.666666666666667,0.0,0.10000000000000009,0.0,0.17391304347826075,0.05555555555555536,0.05555555555555536,0.0,1.0,101
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004237288135593431,0.004237288135593431,0.0,0.0,102
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011641443538996654,0.0011641443538996654,0.0,0.0,103
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.475851494907147e-05,5.475851494907147e-05,0.0,0.0,104
